"country","date","update","cases","new_cases","deaths","new_deaths","recovered","new_recovered","active_cases","per100k","newper100k","activeper100k","days_since_case100","days_since_death10"
"Germany",2020-05-02,102,164967,890,6812,76,129000,2100,29155,196.9,1.1,34.8,63,49
"Ghana",2020-05-02,102,2169,95,18,1,229,17,1922,7,0.3,6.2,38,9
"Greece",2020-05-02,102,2620,8,143,3,1374,0,1103,25.1,0.1,10.6,51,43
"Grenada",2020-05-02,102,21,1,0,0,13,0,8,18.6,0.9,7.1,0,0
"Guatemala",2020-05-02,102,688,44,17,1,72,0,599,3.8,0.2,3.3,23,10
"Guinea",2020-05-02,102,1586,49,7,0,405,63,1174,12.1,0.4,8.9,29,0
"Guinea-Bissau",2020-05-02,102,257,0,1,0,19,0,237,13.1,0,12,4,0
"Guyana",2020-05-02,102,82,0,9,0,22,0,51,10.4,0,6.5,0,0
"Haiti",2020-05-02,102,85,0,8,0,10,0,67,0.7,0,0.6,0,0
"Holy See (Vatican City)",2020-05-02,102,11,0,0,0,2,0,9,1100,0,900,0,0
"Honduras",2020-05-02,102,1010,206,76,1,116,4,818,10.2,2.1,8.3,35,32
"Hong Kong",2020-05-02,102,1039,0,4,0,864,5,171,13.9,0,2.3,62,0
"Hungary",2020-05-02,102,2942,79,335,12,625,16,1982,30.5,0.8,20.5,43,39
"Iceland",2020-05-02,102,1798,0,10,0,1706,17,82,527.3,0,24,52,13
"India",2020-05-02,102,39699,2442,1323,100,10819,812,27557,2.9,0.2,2,50,41
"Indonesia",2020-05-02,102,10843,292,831,31,1665,74,8347,4,0.1,3.1,49,46
"Iran (Islamic Republic of)",2020-05-02,102,96448,802,6156,65,77350,1032,12942,114.8,1,15.4,67,69
"Iraq",2020-05-02,102,2219,66,95,1,1473,59,651,5.5,0.2,1.6,51,50
"Ireland",2020-05-02,102,21176,343,1286,21,13386,0,6504,428.8,6.9,131.7,50,38
"Israel",2020-05-02,102,16185,84,229,4,9593,437,6363,187,1,73.5,52,37
"Italy",2020-05-02,102,209328,1900,28710,474,79914,1665,100704,346.2,3.1,166.6,70,68
"Jamaica",2020-05-02,102,463,31,8,0,33,2,422,15.6,1,14.3,18,0
"Japan",2020-05-02,102,14571,266,474,19,3205,230,10892,11.5,0.2,8.6,72,55
"Jordan",2020-05-02,102,460,1,9,1,367,3,84,4.5,0,0.8,42,0
"Kazakhstan",2020-05-02,102,3857,260,25,0,985,63,2847,20.5,1.4,15.2,38,23
"Kenya",2020-05-02,102,435,24,22,1,152,2,261,0.8,0,0.5,31,18
"Kosovo",2020-05-02,102,823,17,22,0,336,65,465,45.7,0.9,25.8,33,17
"Kuwait",2020-05-02,102,4619,242,33,3,1703,101,2883,108.1,5.7,67.5,50,12
"Kyrgyzstan",2020-05-02,102,769,13,8,0,527,23,234,11.8,0.2,3.6,33,0
"Lao People's Democratic Republic",2020-05-02,102,19,0,0,0,9,1,10,0.3,0,0.1,0,0
"Latvia",2020-05-02,102,871,1,16,0,348,0,507,46.2,0.1,26.9,44,11
"Lebanon",2020-05-02,102,733,4,25,1,197,5,511,10.7,0.1,7.5,49,35
"Liberia",2020-05-02,102,154,2,18,0,48,3,88,3,0,1.7,12,8
"Libya",2020-05-02,102,63,0,3,0,22,4,38,0.9,0,0.6,0,0
"Liechtenstein",2020-05-02,102,82,0,1,0,55,0,26,215.8,0,68.4,0,0
"Lithuania",2020-05-02,102,1406,7,46,1,632,38,728,51.7,0.3,26.7,42,29
"Luxembourg",2020-05-02,102,3812,10,92,0,3318,105,402,608.9,1.6,64.2,47,37
"Macao",2020-05-02,102,45,0,0,0,37,2,8,6.9,0,1.2,0,0
"Madagascar",2020-05-02,102,135,3,0,0,97,3,38,0.5,0,0.1,22,0
"Mainland China",2020-05-02,102,82875,0,4633,0,77685,6,557,5.8,0,0,102,102
"Malawi",2020-05-02,102,38,1,3,0,9,0,26,0.2,0,0.1,0,0
"Malaysia",2020-05-02,102,6176,105,103,0,4326,116,1747,19.1,0.3,5.4,55,42
"Maldives",2020-05-02,102,519,28,1,0,18,1,500,95.9,5.2,92.4,10,0
"Mali",2020-05-02,102,544,36,26,0,206,10,312,2.7,0.2,1.5,21,20
"Malta",2020-05-02,102,468,1,4,0,379,0,85,105.9,0.2,19.2,41,0
"Mauritania",2020-05-02,102,8,0,1,0,6,0,1,0.2,0,0,0,0
"Mauritius",2020-05-02,102,332,0,10,0,314,2,8,26.1,0,0.6,36,6
"Mexico",2020-05-02,102,22088,1349,2061,89,12377,0,7650,17.1,1,5.9,46,37
"Moldova, Republic of",2020-05-02,102,4052,72,124,2,1334,62,2594,100.4,1.8,64.3,41,29
"Monaco",2020-05-02,102,95,0,4,0,78,5,13,243.6,0,33.3,0,0
"Mongolia",2020-05-02,102,39,1,0,0,10,0,29,1.2,0,0.9,0,0
"Montenegro",2020-05-02,102,322,0,8,1,245,12,69,51.3,0,11,33,0
"Morocco",2020-05-02,102,4729,160,173,2,1256,173,3300,12.8,0.4,8.9,42,38
"Mozambique",2020-05-02,102,79,0,0,0,18,6,61,0.3,0,0.2,0,0
"MS Zaandam Cruise Ship",2020-05-02,102,9,0,2,0,0,0,7,NA,NA,NA,0,0
"Namibia",2020-05-02,102,16,0,0,0,8,0,8,0.6,0,0.3,0,0
"Nepal",2020-05-02,102,59,0,0,0,16,0,43,0.2,0,0.1,0,0
"Netherlands",2020-05-02,102,40434,445,5003,94,138,0,35293,236,2.6,206,58,51
